Timestamp,,Information technologies like computer has significant impact on student's academic performance,Classroom teaching methodology has significant impact on student's academic performance.,Library helps to build up student capabilities to achieve highest marks.,Modern teaching aids has positive impact on student academic achievements.,Online education has worst impact on student's learning capabilities.,Online education has worst impact on student's learning capabilities.,Is there any relationship exist between guidance and counselling and students academic achievements?,Guidance and counselling have positive effect on students learning achievements?,Guidance helps to build confidence.,"Before choosing subject mastery, is there any need for guidance or counselling?",Teachers play a role of counselor to help their students to achieve their goals.,Gender,Education,Age,
2022/04/27 7:01:37 pm GMT-5,,Agree,Agree,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Agree,Agree,Female,Masters,26-35,Option 1
2022/04/27 7:02:15 pm GMT-5,,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Disagree,Neutral,Strongly agree,Strongly agree,Female,Higher education,35 or above,Option 1
2022/04/27 7:02:50 pm GMT-5,,Strongly agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Female,Higher education,18-25,Option 1
2022/04/27 7:03:20 pm GMT-5,,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Male,Masters,18-25,
2022/04/27 7:03:33 pm GMT-5,,Neutral,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Agree,Female,Higher education,35 or above,Option 1
2022/04/27 7:04:20 pm GMT-5,,Strongly agree,Strongly agree,Neutral,Neutral,Disagree,Strongly Disagree,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,Female,Higher education,35 or above,Option 1
2022/04/27 7:06:07 pm GMT-5,,Strongly agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Female,Masters,18-25,
2022/04/27 7:07:16 pm GMT-5,,Neutral,Disagree,Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Male,Bachelors,26-35,
2022/04/27 7:07:49 pm GMT-5,,Strongly agree,Agree,Agree,Strongly agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Female,Masters,18-25,
2022/04/27 7:07:52 pm GMT-5,,Disagree,Neutral,Strongly agree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Disagree,Female,Bachelors,35 or above,
2022/04/27 7:08:32 pm GMT-5,,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Neutral,Strongly agree,Strongly agree,Agree,Neutral,Neutral,Male,Masters,18-25,
2022/04/27 7:09:23 pm GMT-5,,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Strongly agree,Agree,Disagree,Strongly agree,Agree,Female,Bachelors,35 or above,
2022/04/27 7:16:38 pm GMT-5,,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Male,Higher education,26-35,
2022/04/27 7:16:52 pm GMT-5,,Strongly agree,Strongly agree,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Agree,Agree,Agree,Female,Higher education,18-25,
2022/04/27 7:17:15 pm GMT-5,,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Male,Masters,26-35,
2022/04/27 7:17:21 pm GMT-5,,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Female,Higher education,18-25,
2022/04/27 7:17:55 pm GMT-5,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Male,Masters,18-25,
2022/04/27 7:18:12 pm GMT-5,,Neutral,Agree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Male,Higher education,18-25,
2022/04/27 7:20:06 pm GMT-5,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Male,Masters,35 or above,
2022/04/27 7:20:13 pm GMT-5,,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly agree,Strongly Disagree,Agree,Neutral,Female,Higher education,35 or above,
2022/04/27 7:20:24 pm GMT-5,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Female,Masters,18-25,
2022/04/27 7:20:42 pm GMT-5,,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Female,Masters,26-35,
2022/04/27 7:20:58 pm GMT-5,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Strongly Disagree,Male,Masters,18-25,
2022/04/27 7:21:17 pm GMT-5,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Female,Masters,18-25,
2022/04/27 7:21:47 pm GMT-5,,Neutral,Neutral,Agree,Agree,Disagree,Neutral,Neutral,Agree,Strongly agree,Agree,Disagree,Female,Higher education,18-25,
2022/04/27 7:22:39 pm GMT-5,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Male,Masters,26-35,
2022/04/27 7:28:32 pm GMT-5,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Female,Masters,18-25,
2022/04/27 7:29:05 pm GMT-5,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Female,Masters,18-25,
2022/04/27 7:29:47 pm GMT-5,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Female,Higher education,26-35,
2022/04/27 7:30:31 pm GMT-5,,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Agree,Neutral,Female,Masters,18-25,
2022/04/27 8:02:09 pm GMT-5,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Female,Masters,26-35,
2022/04/27 8:02:26 pm GMT-5,,Strongly Disagree,Neutral,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly agree,Agree,Agree,Disagree,Strongly Disagree,Strongly agree,Male,Masters,35 or above,
2022/04/27 8:02:36 pm GMT-5,,Agree,Strongly Disagree,Strongly agree,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Female,Higher education,35 or above,
2022/04/27 8:03:20 pm GMT-5,,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Female,Higher education,18-25,
2022/04/27 8:03:26 pm GMT-5,,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly agree,Strongly agree,Strongly Disagree,Strongly Disagree,Female,Higher education,35 or above,
2022/04/27 8:05:01 pm GMT-5,,Strongly agree,Neutral,Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Female,Higher education,35 or above,
2022/04/27 8:07:34 pm GMT-5,,Strongly Disagree,Strongly Disagree,Agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly agree,Strongly Disagree,Strongly Disagree,Female,Higher education,18-25,
2022/04/27 8:11:07 pm GMT-5,,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Strongly agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly agree,Female,Higher education,18-25,
2022/04/27 8:11:57 pm GMT-5,,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly agree,Agree,Strongly agree,Agree,Neutral,Agree,Neutral,Male,Higher education,18-25,
